1287.68,386.5,477.19,1709.59,1221.55,183.49,1182.42
527.89,864.75,757.52,273.84,1086.29,985.79,555.03
110.0,508.51,746.13,1755.54,387.02,1076.82,988.69
989.08,1760.75,944.51,212.58,1530.66,122.41,1527.52
584.25,1705.64,1090.22,385.38,895.92,481.15,157.67
1151.64,1182.47,1203.24,1959.62,1294.08,1677.09,1349.75
1282.14,1863.02,882.13,1312.19,1479.11,1772.63,1758.34
404.4,1779.71,1804.71,936.6,789.94,1315.46,1399.0
167.79,814.95,670.32,283.74,1901.44,1128.17,1553.97
1842.62,172.31,1660.33,1376.35,615.9,786.4,1873.5
1044.06,1140.51,675.76,1358.21,1962.75,836.5,1640.0
465.56,147.87,945.64,1895.4,1803.43,1651.04,1648.99
802.12,333.49,1991.45,376.37,910.63,1220.98,1606.74
393.48,913.62,1979.02,1149.42,1853.24,1385.26,530.2
1068.6,754.0,1263.83,1318.99,1573.8,555.17,440.87
1509.36,775.29,1078.29,880.82,1759.75,1938.87,1189.33
1064.77,1827.44,1295.53,1764.82,1614.43,670.8,1908.88
1236.55,109.84,570.28,712.11,629.01,350.07,1079.49
713.77,359.85,1414.86,807.15,1058.64,1817.44,1511.26
820.95,127.12,107.1,1937.58,1606.06,465.68,1768.56
1249.61,1074.71,608.44,1095.11,509.09,443.05,230.56
